device_id,input_gc_x,input_gc_y,output_gc_x,output_gc_y,polarization,lambda_start_nm,lambda_stop_nm,lambda_step_nm,peak_w,lambda_peak_nm,fwhm_nm
wg_r04_c04,1900.000,800.000,2027.000,800.000,TE,1540.00,1600.00,0.01,4.92602608538e-05,1574.28,9.699
wg_r04_c05,2200.000,800.000,2327.000,800.000,TE,1540.00,1600.00,0.01,4.56597852545e-05,1568.73,9.983
wg_r04_c06,2500.000,800.000,2627.000,800.000,TE,1540.00,1600.00,0.01,6.23439109379e-06,1582.79,6.285
wg_r04_c07,2800.000,800.000,2927.000,800.000,TE,1540.00,1600.00,0.01,2.92534932691e-05,1597.62,4.936
wg_r04_c08,3100.000,800.000,3227.000,800.000,TE,1540.00,1600.00,0.01,3.69331726784e-05,1579.00,4.620
wg_r04_c09,3400.000,800.000,3527.000,800.000,TE,1540.00,1600.00,0.01,1.28607233589e-05,1585.36,8.279
wg_r04_c10,3700.000,800.000,3827.000,800.000,TE,1540.00,1600.00,0.01,2.65205280271e-05,1582.53,6.103
wg_r05_c01,1000.000,900.000,1127.000,900.000,TE,1540.00,1600.00,0.01,6.95928773736e-06,1573.07,7.759
wg_r05_c02,1300.000,900.000,1427.000,900.000,TE,1540.00,1600.00,0.01,3.83589702038e-06,1553.14,11.088
wg_r05_c03,1600.000,900.000,1727.000,900.000,TE,1540.00,1600.00,0.01,2.8646746608e-05,1572.89,11.048
wg_r05_c04,1900.000,900.000,2027.000,900.000,TE,1540.00,1600.00,0.01,2.45773009274e-05,1560.02,8.087
wg_r05_c05,2200.000,900.000,2327.000,900.000,TE,1540.00,1600.00,0.01,3.71558387049e-05,1556.77,8.996
wg_r05_c06,2500.000,900.000,2627.000,900.000,TE,1540.00,1600.00,0.01,1.85348684967e-05,1597.08,10.233
wg_r05_c07,2800.000,900.000,2927.000,900.000,TE,1540.00,1600.00,0.01,4.76505053639e-05,1577.59,6.635
wg_r05_c08,3100.000,900.000,3227.000,900.000,TE,1540.00,1600.00,0.01,8.86757415903e-06,1591.97,5.045
wg_r05_c09,3400.000,900.000,3527.000,900.000,TE,1540.00,1600.00,0.01,2.87275135323e-06,1579.34,5.468
wg_r05_c10,3700.000,900.000,3827.000,900.000,TE,1540.00,1600.00,0.01,3.75211178157e-05,1542.27,5.007
wg_r06_c01,1000.000,1000.000,1127.000,1000.000,TE,1540.00,1600.00,0.01,2.38142478641e-06,1566.22,6.535
wg_r06_c02,1300.000,1000.000,1427.000,1000.000,TE,1540.00,1600.00,0.01,2.78719361171e-05,1584.24,8.683
wg_r06_c03,1600.000,1000.000,1727.000,1000.000,TE,1540.00,1600.00,0.01,3.96475086956e-05,1569.42,9.488
wg_r06_c04,1900.000,1000.000,2027.000,1000.000,TE,1540.00,1600.00,0.01,1.23320615809e-05,1592.82,8.642
wg_r06_c05,2200.000,1000.000,2327.000,1000.000,TE,1540.00,1600.00,0.01,1.40148053628e-05,1594.98,4.674
wg_r06_c06,2500.000,1000.000,2627.000,1000.000,TE,1540.00,1600.00,0.01,1.13998213555e-05,1578.46,5.876
wg_r06_c07,2800.000,1000.000,2927.000,1000.000,TE,1540.00,1600.00,0.01,1.90011164022e-05,1589.36,8.640
wg_r06_c08,3100.000,1000.000,3227.000,1000.000,TE,1540.00,1600.00,0.01,4.17816604705e-06,1565.66,11.307
wg_r06_c09,3400.000,1000.000,3527.000,1000.000,TE,1540.00,1600.00,0.01,3.87799128151e-05,1594.83,8.800
wg_r06_c10,3700.000,1000.000,3827.000,1000.000,TE,1540.00,1600.00,0.01,4.49347705842e-05,1572.06,8.712
wg_r07_c01,1000.000,1100.000,1127.000,1100.000,TE,1540.00,1600.00,0.01,4.98090982954e-06,1584.15,10.090
wg_r07_c02,1300.000,1100.000,1427.000,1100.000,TE,1540.00,1600.00,0.01,8.42100685107e-06,1541.39,11.536
wg_r07_c03,1600.000,1100.000,1727.000,1100.000,TE,1540.00,1600.00,0.01,2.92086882574e-05,1578.81,4.802
wg_r07_c04,1900.000,1100.000,2027.000,1100.000,TE,1540.00,1600.00,0.01,4.89506082021e-05,1559.62,9.566
wg_r07_c05,2200.000,1100.000,2327.000,1100.000,TE,1540.00,1600.00,0.01,1.78048553812e-05,1550.37,5.180
wg_r07_c06,2500.000,1100.000,2627.000,1100.000,TE,1540.00,1600.00,0.01,3.79170804248e-05,1557.48,5.436
wg_r07_c07,2800.000,1100.000,2927.000,1100.000,TE,1540.00,1600.00,0.01,1.41315722701e-05,1597.88,11.654
wg_r07_c08,3100.000,1100.000,3227.000,1100.000,TE,1540.00,1600.00,0.01,1.65997857972e-05,1599.70,10.022
wg_r07_c09,3400.000,1100.000,3527.000,1100.000,TE,1540.00,1600.00,0.01,4.75907028745e-05,1565.45,11.317
wg_r07_c10,3700.000,1100.000,3827.000,1100.000,TE,1540.00,1600.00,0.01,1.55754670197e-05,1596.68,11.458
wg_r08_c01,1000.000,1200.000,1127.000,1200.000,TE,1540.00,1600.00,0.01,4.29688682452e-05,1587.72,6.723
wg_r08_c02,1300.000,1200.000,1427.000,1200.000,TE,1540.00,1600.00,0.01,1.19387998265e-05,1556.05,6.920
wg_r08_c03,1600.000,1200.000,1727.000,1200.000,TE,1540.00,1600.00,0.01,3.76765316746e-05,1582.11,6.629
wg_r08_c04,1900.000,1200.000,2027.000,1200.000,TE,1540.00,1600.00,0.01,2.41194505357e-05,1544.19,8.487
wg_r08_c05,2200.000,1200.000,2327.000,1200.000,TE,1540.00,1600.00,0.01,1.91134472359e-05,1568.82,5.258
wg_r08_c06,2500.000,1200.000,2627.000,1200.000,TE,1540.00,1600.00,0.01,4.40834188053e-05,1570.52,9.467
wg_r08_c07,2800.000,1200.000,2927.000,1200.000,TE,1540.00,1600.00,0.01,2.02219037937e-05,1582.64,9.235
wg_r08_c08,3100.000,1200.000,3227.000,1200.000,TE,1540.00,1600.00,0.01,4.76071742697e-05,1576.53,5.306
wg_r08_c09,3400.000,1200.000,3527.000,1200.000,TE,1540.00,1600.00,0.01,3.27014163048e-05,1556.61,4.690
wg_r08_c10,3700.000,1200.000,3827.000,1200.000,TE,1540.00,1600.00,0.01,2.40775620367e-05,1546.64,9.022
wg_r09_c01,1000.000,1300.000,1127.000,1300.000,TE,1540.00,1600.00,0.01,2.14886387568e-05,1545.48,8.872
wg_r09_c02,1300.000,1300.000,1427.000,1300.000,TE,1540.00,1600.00,0.01,3.98735063539e-05,1595.70,6.043
wg_r09_c03,1600.000,1300.000,1727.000,1300.000,TE,1540.00,1600.00,0.01,4.85315851848e-05,1548.94,9.312
wg_r09_c04,1900.000,1300.000,2027.000,1300.000,TE,1540.00,1600.00,0.01,1.19634336838e-05,1562.63,8.362
wg_r09_c05,2200.000,1300.000,2327.000,1300.000,TE,1540.00,1600.00,0.01,4.01412852343e-05,1586.17,9.651
wg_r09_c06,2500.000,1300.000,2627.000,1300.000,TE,1540.00,1600.00,0.01,3.79210831302e-05,1589.21,11.258
wg_r09_c07,2800.000,1300.000,2927.000,1300.000,TE,1540.00,1600.00,0.01,1.50178491576e-05,1547.61,7.604
wg_r09_c08,3100.000,1300.000,3227.000,1300.000,TE,1540.00,1600.00,0.01,3.90510373749e-05,1581.30,11.695
wg_r09_c09,3400.000,1300.000,3527.000,1300.000,TE,1540.00,1600.00,0.01,4.15645570871e-05,1547.99,7.273
wg_r09_c10,3700.000,1300.000,3827.000,1300.000,TE,1540.00,1600.00,0.01,4.25486185271e-05,1588.31,8.102
wg_r10_c01,1000.000,1400.000,1127.000,1400.000,TE,1540.00,1600.00,0.01,1.60785074025e-05,1579.69,11.195
wg_r10_c02,1300.000,1400.000,1427.000,1400.000,TE,1540.00,1600.00,0.01,3.95376387632e-05,1596.40,6.910
wg_r10_c03,1600.000,1400.000,1727.000,1400.000,TE,1540.00,1600.00,0.01,3.49831930007e-05,1563.01,7.259
wg_r10_c04,1900.000,1400.000,2027.000,1400.000,TE,1540.00,1600.00,0.01,4.89524262307e-05,1567.29,4.717
wg_r10_c05,2200.000,1400.000,2327.000,1400.000,TE,1540.00,1600.00,0.01,4.48224334737e-05,1546.38,6.712
wg_r10_c06,2500.000,1400.000,2627.000,1400.000,TE,1540.00,1600.00,0.01,2.67219071534e-05,1586.77,7.087
wg_r10_c07,2800.000,1400.000,2927.000,1400.000,TE,1540.00,1600.00,0.01,2.28957516859e-06,1578.70,4.785
wg_r10_c08,3100.000,1400.000,3227.000,1400.000,TE,1540.00,1600.00,0.01,3.47079242817e-06,1556.40,11.365
wg_r10_c09,3400.000,1400.000,3527.000,1400.000,TE,1540.00,1600.00,0.01,3.16089197621e-05,1552.97,9.100
wg_r10_c10,3700.000,1400.000,3827.000,1400.000,TE,1540.00,1600.00,0.01,4.33937884788e-05,1546.01,10.735
